Indicator_Name,Indicator_Code
Secure Internet servers,IT.NET.SECR
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT
Time required to build a warehouse (days),IC.WRH.DURS
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD
Compensation of employees (% of expense),GC.XPN.COMP.ZS
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG
"Repeaters, secondary, female (% of female enrollment)",SE.SEC.REPT.FE.ZS
"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA
Merchandise imports from developing economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD
"PPG, other private creditors (TDS, current US$)",DT.TDS.PROP.CD
Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS
"Roads, passengers carried (million passenger-km)",IS.ROD.PSGR.K6
"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD
Road sector gasoline fuel consumption per capita (kg of oil equivalent),IS.ROD.SGAS.PC
Average number of times firms spent in meetings with tax officials,IC.TAX.METG
"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD
Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS
Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD
"Children out of school, primary, male",SE.PRM.UNER.MA
Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN
GNI per capita (constant LCU),NY.GNP.PCAP.KN
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS
"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD
"PPG, IDA (DIS, current US$)",DT.DIS.MIDA.CD
Military expenditure (% of central government expenditure),MS.MIL.XPND.ZS
Population in urban agglomerations of more than 1 million,EN.URB.MCTY
Rural population (% of total population),SP.RUR.TOTL.ZS
"Secondary education, teachers",SE.SEC.TCHR
"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD
"Wage and salary workers, male (% of males employed)",SL.EMP.WORK.MA.ZS
Goods and services expense (% of expense),GC.XPN.GSRV.ZS
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD
"School enrollment, secondary (% gross)",SE.SEC.ENRR
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS
"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD
"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD
"Malnutrition prevalence, weight for age (% of children under 5)",SH.STA.MALN.ZS
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE
Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS
"IMF purchases (DIS, current US$)",DT.DIS.DIMF.CD
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD
Quasi-liquid liabilities (% of GDP),FS.LBL.QLIQ.GD.ZS
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS
"Labor force, total",SL.TLF.TOTL.IN
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN
"Principal rescheduled, private (current US$)",DT.AXR.PRVT.CD
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD
"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD
"School enrollment, preprimary (% gross)",SE.PRE.ENRR
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN
Unemployment with tertiary education (% of total unemployment),SL.UEM.TERT.ZS
"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT
"Water pollution, textile industry (% of total BOD emissions)",EE.BOD.TXTL.ZS
Newborns protected against tetanus (%),SH.VAC.TTNS.ZS
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
"PPG, official creditors (NTR, current US$)",DT.NTR.OFFT.CD
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD
Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS
"Primary education, duration (years)",SE.PRM.DURS
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS
Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD
Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY
"Malnutrition prevalence, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD
"Unemployment, youth male (% of male labor force ages 15-24)",SL.UEM.1524.MA.ZS
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS
GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),ER.BDV.TOTL.XQ
"Household final consumption expenditure, etc. (% of GDP)",NE.CON.PETC.ZS
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS
(%) Benefits held by 1st 20% population - All Social Protection,allsp.bi_q1
"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD
"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS
Wanted fertility rate (births per woman),SP.DYN.WFRT
Goods and services expense (current LCU),GC.XPN.GSRV.CN
"International tourism, receipts (current US$)",ST.INT.RCPT.CD
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ
"Labor force participation rate, total (% of total population ages 15-64)",SL.TLF.ACTI.ZS
"Unemployment with primary education, male (% of male unemployment)",SL.UEM.PRIM.MA.ZS
Electric power consumption (kWh),EG.USE.ELEC.KH
"Part time employment, female (% of total part time employment)",SL.TLF.PART.TL.FE.ZS
Grants and other revenue (current LCU),GC.REV.GOTR.CN
"Currency composition of PPG debt, French franc (%)",DT.CUR.FFRC.ZS
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ
"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS
Adjusted net national income (current US$),NY.ADJ.NNTY.CD
"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS
Road density (km of road per 100 sq. km of land area),IS.ROD.DNST.K2
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ
Road sector diesel fuel consumption per capita (kg of oil equivalent),IS.ROD.DESL.PC
"Prevalence of wasting, male (% of children under 5)",SH.STA.WAST.MA.ZS
"Net incurrence of liabilities, domestic (current LCU)",GC.FIN.DOMS.CN
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS
"PPG, IDA (INT, current US$)",DT.INT.MIDA.CD
"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD
Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD
"Manufacturing, value added (constant 2005 US$)",NV.IND.MANF.KD
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD
Arable land (hectares per person),AG.LND.ARBL.HA.PC
Real interest rate (%),FR.INR.RINR
"Wage and salaried workers, female (% of females employed)",SL.EMP.WORK.FE.ZS
Procedures to build a warehouse (number),IC.WRH.PROC
"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD
Improved sanitation facilities (% of population with access),SH.STA.ACSN
"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD
Exports of goods and services (current LCU),NE.EXP.GNFS.CN
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN
Road sector diesel fuel consumption (kt of oil equivalent),IS.ROD.DESL.KT
"PNG, bonds (INT, current US$)",DT.INT.PNGB.CD
"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS
Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH
"Vulnerable employment, female (% of female employment)",SL.EMP.VULN.FE.ZS
Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN
"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD
"PPG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CD
Tax revenue (current LCU),GC.TAX.TOTL.CN
"Employment to population ratio, ages 15-24, male (%)",SL.EMP.1524.SP.MA.ZS
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN
"Employees, industry, female (% of female employment)",SL.IND.EMPL.FE.ZS
Income share held by third 20%,SI.DST.03RD.20
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS
"PNG, commercial banks and other creditors (TDS, current US$)",DT.TDS.PNGC.CD
"Industry, value added (current LCU)",NV.IND.TOTL.CN
CO2 emissions (kg per 2005 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD
"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS
"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK
Final consumption expenditure (constant 2005 US$),NE.CON.TOTL.KD
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD
Low-birthweight babies (% of births),SH.STA.BRTW.ZS
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD
Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS
Principal forgiven (current US$),DT.AXF.DPPG.CD
"Plant species (higher), threatened",EN.HPT.THRD.NO
"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS
Other expense (current LCU),GC.XPN.OTHR.CN
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS
Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG
SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE
"Contributing family workers, total (% of total employed)",SL.FAM.WORK.ZS
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS
Time to import (days),IC.IMP.DURS
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS
"PPG, IBRD (AMT, current US$)",DT.AMT.MIBR.CD
Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions),EN.ATM.NOXE.EI.ZS
"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD
Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS
Gross savings (current US$),NY.GNS.ICTR.CD
"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS
"Patent applications, nonresidents",IP.PAT.NRES
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS
Gross domestic income (constant LCU),NY.GDY.TOTL.KN
"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD
Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS
Net income from abroad (current US$),NY.GSR.NFCY.CD
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS
"Water pollution, chemical industry (% of total BOD emissions)",EE.BOD.CHEM.ZS
"Household final consumption expenditure, etc. (current LCU)",NE.CON.PETC.CN
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS
Imports of goods and services (current LCU),NE.IMP.GNFS.CN
Income share held by second 20%,SI.DST.02ND.20
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN
Total amount of debt rescheduled (current US$),DT.TXR.DPPG.CD
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD
"Net incurrence of liabilities, domestic (% of GDP)",GC.FIN.DOMS.GD.ZS
"Malnutrition prevalence, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS
"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD
Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS
Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS
"Long-term unemployment, female (% of female unemployment)",SL.UEM.LTRM.FE.ZS
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE
Population density (people per sq. km of land area),EN.POP.DNST
"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN
Urban population growth (annual %),SP.URB.GROW
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS
Time required to register property (days),IC.PRP.DURS
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ
"Household final consumption expenditure, etc. (annual % growth)",NE.CON.PETC.KD.ZG
"PPG, private creditors (DOD, current US$)",DT.DOD.PRVT.CD
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS
Social contributions (current LCU),GC.REV.SOCL.CN
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS
Primary income on FDI (current US$),BX.KLT.DREM.CD.DT
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS
Rail lines (total route-km),IS.RRS.TOTL.KM
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN
Quasi money (current LCU),FM.LBL.QMNY.CN
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS
Household final consumption expenditure (constant 2005 US$),NE.CON.PRVT.KD
"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD
Total reserves minus gold (current US$),FI.RES.XGLD.CD
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS
Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD
"PNG, commercial banks and other creditors (AMT, current US$)",DT.AMT.PNGC.CD
Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT
"Bird species, threatened",EN.BIR.THRD.NO
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS
Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS
Surface area (sq. km),AG.SRF.TOTL.K2
Time required to obtain an operating license (days),IC.FRM.DURS
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.GD.ZS
"PNG, bonds (DIS, current US$)",DT.DIS.PNGB.CD
"Water pollution, other industry (% of total BOD emissions)",EE.BOD.OTHR.ZS
Net income from abroad (current LCU),NY.GSR.NFCY.CN
Electricity production from natural gas sources (kWh),EG.ELC.NGAS.KH
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ
"PNG, bonds (TDS, current US$)",DT.TDS.PNGB.CD
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD
Household final consumption expenditure (current US$),NE.CON.PRVT.CD
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD
Commercial service imports (current US$),TM.VAL.SERV.CD.WT
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS
Access to electricity (% of population),EG.ELC.ACCS.ZS
Expense (current LCU),GC.XPN.TOTL.CN
"Household final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD
Net taxes on products (current LCU),NY.TAX.NIND.CN
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS
"Trademark applications, Madrid",IP.TMK.MDRD
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD
(%) Benefits held by 1st 20% population - Unemp benefits and ALMP,lm_ub.bi_q1
"Industry, value added (annual % growth)",NV.IND.TOTL.KD.ZG
"Motor vehicles (per 1,000 people)",IS.VEH.NVEH.P3
Value lost due to electrical outages (% of sales),IC.FRM.OUTG.ZS
"Employees, agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS
Electricity production from coal sources (kWh),EG.ELC.COAL.KH
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA
"Residual, debt stock-flow reconciliation (current US$)",DT.DOD.RSDL.CD
CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS
Income share held by fourth 20%,SI.DST.04TH.20
"Household final consumption expenditure, etc. (constant 2005 US$)",NE.CON.PETC.KD
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD
"Labor participation rate, total (% of total population ages 15+)",SL.TLF.CACT.ZS
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS
"Services, etc., value added (constant 2005 US$)",NV.SRV.TETC.KD
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS
Exports of goods and services (current US$),NE.EXP.GNFS.CD
"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS
Credit depth of information index (0=low to 6=high),IC.CRD.INFO.XQ
GDP (constant 2005 US$),NY.GDP.MKTP.KD
PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD
"Prevalence of overweight, female (% of children under 5)",SH.STA.OWGH.FE.ZS
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
Cereal production (metric tons),AG.PRD.CREL.MT
"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD
International migrant stock (% of population),SM.POP.TOTL.ZS
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS
"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD
GNI (constant 2005 US$),NY.GNP.MKTP.KD
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD
"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD
GDP per capita (current LCU),NY.GDP.PCAP.CN
Household final consumption expenditure per capita (constant 2005 US$),NE.CON.PRVT.PC.KD
"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS
"Secondary education, pupils",SE.SEC.ENRL
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS
Merchandise exports to developing economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD
Primary school starting age (years),SE.PRM.AGES
GNI (constant LCU),NY.GNP.MKTP.KN
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD
"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS
"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA
"GNI, PPP (constant 2005 international $)",NY.GNP.MKTP.PP.KD
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS
"Secondary education, vocational pupils",SE.SEC.ENRL.VO
Number of under-five deaths,SH.DTH.MORT
Scientific and technical journal articles,IP.JRN.ARTC.SC
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD
Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS
"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS
Arable land (% of land area),AG.LND.ARBL.ZS
Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD
Broad money growth (annual %),FM.LBL.BMNY.ZG
"Principal arrears, public and publicly guaranteed (current US$)",DT.AXA.DPPG.CD
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ
Internet users (per 100 people),IT.NET.USER.P2
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS
Consumer price index (2005 = 100),FP.CPI.TOTL
Power outages in firms in a typical month (number),IC.ELC.OUTG
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD
Money and quasi money (M2) to total reserves ratio,FM.LBL.MQMY.IR.ZS
"Trademark applications, total",IP.TMK.TOTL
"School enrollment, primary (% net)",SE.PRM.NENR
"Self-employed, total (% of total employed)",SL.EMP.SELF.ZS
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
Fixed broadband Internet subscribers,IT.NET.BBND
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ
Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS
Gross capital formation (current US$),NE.GDI.TOTL.CD
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD
