SeriesCode,Development relevance,Statistical concept and methodology,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Limitations and exceptions,Notes from original source,General comments
SH.STA.OWGH.ZS,"Once considered a high-income country problem, overweight children have become a growing concern in developing countries. Research shows an association between childhood obesity and a high prevalence of diabetes, respiratory disease, high blood pressure, and psychosocial and orthopedic disorders (de Onis and Blössner 2000). Childhood obesity is associated with a higher chance of obesity, premature death and disability in adulthood. In addition to increased future risks, obese children experience breathing difficulties, increased risk of fractures, hypertension, early markers of cardiovascular disease, insulin resistance and psychological effects.

There is a general imbalance in energy intake compared to physical activity levels which drives the obesity epidemic. Children in low- and middle-income countries are more vulnerable to inadequate pre-natal, infant and young child nutrition. At the same time, they are exposed to high-fat, high-sugar, high-salt, energy-dense, micronutrient-poor foods, which tend to be lower in cost. These dietary patterns, in conjunction with low levels of physical activity, result in sharp increases in childhood obesity while undernourishment issues remain unsolved .In industrialized countries, child obesity risk is associated with lower household income, women with less education, and single parent households.","The World Health Organization (WHO) considers children overweight whose weight for height, or body mass index (BMI) is two standard deviations above the median for their age. Childhood obesity and overweight are defined as ''abnormal or excessive fat accumulation that presents a risk to health.'' According to the Centers for Disease Control (CDC) overweight children have a BMI at or above the 85th percentile and lower than the 95th percentile for children of the same age and sex; obesity is defined as a BMI at or above the 95th percentile for children of the same age and sex.

New international growth reference standards for infants and young children were released in 2006 by the World Health Organization (WHO) to monitor children's nutritional status. Differences in growth to age 5 are influenced more by nutrition, feeding practices, environment, and healthcare than by genetics or ethnicity. The previously reported data were based on the U.S. National Center for Health Statistics-WHO growth reference. Because of the change in standards, the data in this edition should not be compared with data in editions prior to 2008.

Height is measured by recumbent length for children up to two years old and by stature while standing for older children. Year refers to the survey year. For more information, consult the original sources.",Prevalence of overweight (% of children under 5),,Prevalence of overweight children is the percentage of children under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's new child growth standards released in 2006.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries. Adjusted, comparable data are available at http://www.who.int/nutgrowthdb/en. Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",Health: Nutrition,Annual,,Linear mixed-effect model estimates,"New international growth reference standards for infants and young children were released in 2006 by the WHO to monitor children's nutritional status. The previously reported data were based on the U.S. National Center for Health Statistics-WHO growth reference.

Population data reported in the World Development Indicator database may differ from those reported by country sources or the United Nations. Estimates of overweight children are from national survey data.",,
SH.STA.STNT.FE.ZS,"Malnutrition is a serious public-health problem that has been linked to a substantial increase in the risk of mortality and morbidity. Many of the millions of low-birth-weight babies born annually face severe short-term and long-term health consequences. Women and young children bear the brunt of the disease burden associated with malnutrition. It perpetuates the problem across generations, as malnourished women are more likely to have low-birth-weight babies. Malnourished children have lower resistance to infection and are more likely to die from common childhood ailments such as diarrheal diseases and respiratory infections. Frequent illness saps the nutritional status of those who survive, locking them into a vicious cycle of recurring sickness and faltering growth.

Many factors can cause malnutrition. Undernourishment, a shortfall in the amount of food energy consumed on a regular basis, is an underlying cause, often compounded by severe and repeated infections and lack of micronutrients,  particularly in underprivileged populations. Undernourishment in the general population is measured by  average quantity of food calories available for human consumption per person; the distribution of food consumption; and the minimum calories required for an average person. For more information on the measurement of undernourishment, see the metadata for Prevalence of undernourishment (SN.ITK.DEFC.ZS).

According to UNICEF good nutrition is the cornerstone for survival, health and development. Well-nourished children perform better in school, grow into healthy adults, and in turn give their children a better start in life. Well-nourished women face fewer risks during pregnancy and childbirth, and their children set off on firmer developmental paths, both physically and mentally. Undernourished children have lower resistance to infection and are more likely to die from common childhood ailments such as diarrheal diseases and respiratory infections.

Malnutrition indicators help policymakers to quantify the increased risk associated with malnutrition, in terms of attributable mortality and morbidity. The estimates allow policy-makers to compare the disease burden of malnutrition for different countries, and enable resources to be deployed more effectively. Repeated assessments also allow trends to be monitored and the impact of interventions to be evaluated.","Malnutrition in children can be assessed by their weight for age (underweight), height for age (stunting), and by their body mass index (wasting), which is a ratio of weight to height. The proportion of underweight children is the most common malnutrition indicator. Being even mildly underweight increases the risk of death and inhibits cognitive development in children. Stunting, or being below median height for age, is often used as a proxy for multifaceted deprivation and as an indicator of long-term changes in malnutrition.

Stunting refers to the percentage of children under age 5 whose height for age (stunting) is more than two standard deviations below the National Centre for Health Statistics/WHO reference median value. Estimates of child malnutrition, based on prevalence of underweight and stunting, are from national survey data. Height is measured by recumbent length for children up to two years old and by stature while standing for older children. The data are based on the WHO's new child growth standards released in 2006.

Estimates of child malnutrition, based on prevalence of underweight, stunting, wasting and overweight, are from national survey data. For more information, consult the original sources. Height is measured by recumbent length for children up to two years old and by stature while standing for older children.","Malnutrition prevalence, height for age, female (% of children under 5)",,Prevalence of child malnutrition is the percentage of children under age 5 whose height for age (stunting) is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries.",Health: Nutrition,Annual,,Linear mixed-effect model estimates,"New international growth reference standards for infants and young children were released in 2006 by the WHO to monitor children's nutritional status. Differences in growth to age 5 are influenced more by nutrition, feeding practices, environment, and healthcare than by genetics or ethnicity. The previously reported data were based on the U.S. National Center for Health Statistics-WHO growth reference. Because of the change in standards, the data in this release should not be compared with data published prior to 2008.",,
SH.STA.STNT.MA.ZS,"Malnutrition is a serious public-health problem that has been linked to a substantial increase in the risk of mortality and morbidity. Many of the millions of low-birth-weight babies born annually face severe short-term and long-term health consequences. Women and young children bear the brunt of the disease burden associated with malnutrition. It perpetuates the problem across generations, as malnourished women are more likely to have low-birth-weight babies. Malnourished children have lower resistance to infection and are more likely to die from common childhood ailments such as diarrheal diseases and respiratory infections. Frequent illness saps the nutritional status of those who survive, locking them into a vicious cycle of recurring sickness and faltering growth.

Many factors can cause malnutrition. Undernourishment, a shortfall in the amount of food energy consumed on a regular basis, is an underlying cause, often compounded by severe and repeated infections and lack of micronutrients,  particularly in underprivileged populations. Undernourishment in the general population is measured by  average quantity of food calories available for human consumption per person; the distribution of food consumption; and the minimum calories required for an average person. For more information on the measurement of undernourishment, see the metadata for Prevalence of undernourishment (SN.ITK.DEFC.ZS).

According to UNICEF good nutrition is the cornerstone for survival, health and development. Well-nourished children perform better in school, grow into healthy adults, and in turn give their children a better start in life. Well-nourished women face fewer risks during pregnancy and childbirth, and their children set off on firmer developmental paths, both physically and mentally. Undernourished children have lower resistance to infection and are more likely to die from common childhood ailments such as diarrheal diseases and respiratory infections.

Malnutrition indicators help policymakers to quantify the increased risk associated with malnutrition, in terms of attributable mortality and morbidity. The estimates allow policy-makers to compare the disease burden of malnutrition for different countries, and enable resources to be deployed more effectively. Repeated assessments also allow trends to be monitored and the impact of interventions to be evaluated.","Malnutrition in children can be assessed by their weight for age (underweight), height for age (stunting), and by their body mass index (wasting), which is a ratio of weight to height. The proportion of underweight children is the most common malnutrition indicator. Being even mildly underweight increases the risk of death and inhibits cognitive development in children. Stunting, or being below median height for age, is often used as a proxy for multifaceted deprivation and as an indicator of long-term changes in malnutrition.

Stunting refers to the percentage of children under age 5 whose height for age (stunting) is more than two standard deviations below the National Centre for Health Statistics/WHO reference median value. Estimates of child malnutrition, based on prevalence of underweight and stunting, are from national survey data. Height is measured by recumbent length for children up to two years old and by stature while standing for older children. The data are based on the WHO's new child growth standards released in 2006.

Estimates of child malnutrition, based on prevalence of underweight, stunting, wasting and overweight, are from national survey data. For more information, consult the original sources. Height is measured by recumbent length for children up to two years old and by stature while standing for older children.","Malnutrition prevalence, height for age, male (% of children under 5)",,Prevalence of child malnutrition is the percentage of children under age 5 whose height for age (stunting) is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries.",Health: Nutrition,Annual,,Linear mixed-effect model estimates,"New international growth reference standards for infants and young children were released in 2006 by the WHO to monitor children's nutritional status. Differences in growth to age 5 are influenced more by nutrition, feeding practices, environment, and healthcare than by genetics or ethnicity. The previously reported data were based on the U.S. National Center for Health Statistics-WHO growth reference. Because of the change in standards, the data in this release should not be compared with data published prior to 2008.",,
SH.STA.STNT.ZS,,,"Malnutrition prevalence, height for age (% of children under 5)",,Prevalence of child malnutrition is the percentage of children under age 5 whose height for age (stunting) is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries. Adjusted, comparable data are available at http://www.who.int/nutgrowthdb/en. Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",Health: Nutrition,Annual,,Linear mixed-effect model estimates,,,
SH.STA.WAST.FE.ZS,"Good nutrition is the cornerstone for survival, health and development. Well-nourished children perform better in school, grow into healthy adults and in turn give their children a better start in life. Well-nourished women face fewer risks during pregnancy and childbirth, and their children set off on firmer developmental paths, both physically and mentally (UNICEF www.childinfo.org).

Undernourished children have lowered resistance to infection and are more likely to die from common childhood ailments like diarrheal diseases and respiratory infections. Frequent illness saps the nutritional status of those who survive, locking them into a vicious cycle of recurring sickness and faltering growth (UNICEF www.childinfo.org). The proportion of underweight children is the most common malnutrition indicator. Being even mildly underweight increases the risk of death and inhibits cognitive development in children. It perpetuates the problem across generations, as malnourished women are more likely to have low-birth-weight babies. Stunting, or being below median height for age, is often used as a proxy for multifaceted deprivation and as an indicator of long-term changes in malnutrition.

Once considered a high-income country problem, overweight children have become a growing concern in developing countries. Research shows an association between childhood obesity and a high prevalence of diabetes, respiratory disease, high blood pressure, and psychosocial and orthopedic disorders (de Onis and Blössner 2000). Childhood obesity is associated with a higher chance of obesity, premature death and disability in adulthood. In addition to increased future risks, obese children experience breathing difficulties, increased risk of fractures, hypertension, early markers of cardiovascular disease, insulin resistance and psychological effects. Children in low- and middle-income countries are more vulnerable to inadequate pre-natal, infant and young child nutrition. At the same time, they are exposed to high-fat, high-sugar, high-salt, energy-dense, micronutrient-poor foods, which tend to be lower in cost. These dietary patterns, in conjunction with low levels of physical activity, result in sharp increases in childhood obesity while undernourishment issues remain unsolved (WHO).","Estimates of child malnutrition, based on prevalence of underweight, stunting, wasting and overweight, are from national survey data. Height is measured by recumbent length for children up to two years old and by stature while standing for older children.

New international growth reference standards for infants and young children were released in 2006 by the World Health Organization (WHO) to monitor children's nutritional status. Differences in growth to age 5 are influenced more by nutrition, feeding practices, environment, and healthcare than by genetics or ethnicity. The previously reported data were based on the U.S. National Center for Health Statistics-WHO growth reference. Because of the change in standards, the data in this edition should not be compared with data in editions prior to 2008.

Estimates for regions, income groups, and the world are jointly produced by the United Nations Children's Fund (UNICEF), the WHO, and the World Bank using a harmonized database and aggregation method (UNICEF, WHO, and World Bank 2012). Country-level data used in aggregation are compiled by the WHO from national nutritional surveys following specific criteria for inclusion, data quality control and database work-flow. The aggregation utilizes a linear mixed-effect model allowing for random effects at country level and fixed effects for the interaction between years and regions or income groups. Moreover, the linear mixed-effect model allows for both correlation within countries and heterogeneous covariance structures. For more details about the aggregation methodology, please refer to the methodology paper by de Onis, et al. (2004).","Prevalence of wasting, female (% of children under 5)",,Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries.",Health: Nutrition,Annual,,Linear mixed-effect model estimates,,,
SH.STA.WAST.MA.ZS,"Good nutrition is the cornerstone for survival, health and development. Well-nourished children perform better in school, grow into healthy adults and in turn give their children a better start in life. Well-nourished women face fewer risks during pregnancy and childbirth, and their children set off on firmer developmental paths, both physically and mentally (UNICEF www.childinfo.org).

Undernourished children have lowered resistance to infection and are more likely to die from common childhood ailments like diarrheal diseases and respiratory infections. Frequent illness saps the nutritional status of those who survive, locking them into a vicious cycle of recurring sickness and faltering growth (UNICEF www.childinfo.org). The proportion of underweight children is the most common malnutrition indicator. Being even mildly underweight increases the risk of death and inhibits cognitive development in children. It perpetuates the problem across generations, as malnourished women are more likely to have low-birth-weight babies. Stunting, or being below median height for age, is often used as a proxy for multifaceted deprivation and as an indicator of long-term changes in malnutrition.

Once considered a high-income country problem, overweight children have become a growing concern in developing countries. Research shows an association between childhood obesity and a high prevalence of diabetes, respiratory disease, high blood pressure, and psychosocial and orthopedic disorders (de Onis and Blössner 2000). Childhood obesity is associated with a higher chance of obesity, premature death and disability in adulthood. In addition to increased future risks, obese children experience breathing difficulties, increased risk of fractures, hypertension, early markers of cardiovascular disease, insulin resistance and psychological effects. Children in low- and middle-income countries are more vulnerable to inadequate pre-natal, infant and young child nutrition. At the same time, they are exposed to high-fat, high-sugar, high-salt, energy-dense, micronutrient-poor foods, which tend to be lower in cost. These dietary patterns, in conjunction with low levels of physical activity, result in sharp increases in childhood obesity while undernourishment issues remain unsolved (WHO).","Estimates of child malnutrition, based on prevalence of underweight, stunting, wasting and overweight, are from national survey data. Height is measured by recumbent length for children up to two years old and by stature while standing for older children.

New international growth reference standards for infants and young children were released in 2006 by the World Health Organization (WHO) to monitor children's nutritional status. Differences in growth to age 5 are influenced more by nutrition, feeding practices, environment, and healthcare than by genetics or ethnicity. The previously reported data were based on the U.S. National Center for Health Statistics-WHO growth reference. Because of the change in standards, the data in this edition should not be compared with data in editions prior to 2008.

Estimates for regions, income groups, and the world are jointly produced by the United Nations Children's Fund (UNICEF), the WHO, and the World Bank using a harmonized database and aggregation method (UNICEF, WHO, and World Bank 2012). Country-level data used in aggregation are compiled by the WHO from national nutritional surveys following specific criteria for inclusion, data quality control and database work-flow. The aggregation utilizes a linear mixed-effect model allowing for random effects at country level and fixed effects for the interaction between years and regions or income groups. Moreover, the linear mixed-effect model allows for both correlation within countries and heterogeneous covariance structures. For more details about the aggregation methodology, please refer to the methodology paper by de Onis, et al. (2004).","Prevalence of wasting, male (% of children under 5)",,Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries.",Health: Nutrition,Annual,,Linear mixed-effect model estimates,,,
SH.STA.WAST.ZS,,,Prevalence of wasting (% of children under 5),,Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries. Adjusted, comparable data are available at http://www.who.int/nutgrowthdb/en. Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",Health: Nutrition,Annual,,Linear mixed-effect model estimates,,,
SH.TBS.CURE.ZS,,"Tuberculosis is one of the main causes of adult deaths from a single infectious agent in developing countries. Data on the success rate of tuberculosis treatment are provided for countries that have submitted data to the WHO. The treatment success rate for tuberculosis provides a useful indicator of the quality of health services. A low rate suggests that infectious patients may not be receiving adequate treatment. An important complement to the tuberculosis treatment success rate is the case detection rate, which indicates whether there is adequate coverage by the recommended case detection and treatment strategy.",Tuberculosis treatment success rate (% of registered cases),,"Tuberculosis treatment success rate is the percentage of new, registered smear-positive (infectious) cases that were cured or in which a full course of treatment was completed.","World Health Organization, Global Tuberculosis Control Report.",Health: Disease prevention,Annual,,Weighted average,,,
SH.TBS.DTEC.ZS,,"Tuberculosis is one of the main causes of adult deaths from a single infectious agent in developing countries. This indicator shows the tuberculosis detection rate for all detection methods. Editions before 2010 included the tuberculosis detection rates by DOTS, the internationally recommended strategy for tuberculosis control. Thus data on the case detection rate from 2010 onward cannot be compared with data in previous editions.","Tuberculosis case detection rate (%, all forms)",,"Tuberculosis case detection rate (all forms) is the percentage of newly notified tuberculosis cases (including relapses) to estimated incident cases (case detection, all forms).","World Health Organization, Global Tuberculosis Control Report.",Health: Disease prevention,Annual,,Weighted average,,"Estimates are presented with uncertainty intervals (see footnote). When ranges are presented, the lower and higher numbers correspond to the 2.5th and 97.5th centiles of the outcome distributions (generally produced by simulations). For more detailed information, see the original source.",
SH.TBS.INCD,,"Tuberculosis is one of the main causes of adult deaths from a single infectious agent in developing countries. In developed countries tuberculosis has reemerged largely as a result of cases among immigrants. Since tuberculosis incidence cannot be directly measured, estimates are obtained by eliciting expert opinion or are derived from measurements of prevalence or mortality.","Incidence of tuberculosis (per 100,000 people)",,"Incidence of tuberculosis is the estimated number of new pulmonary, smear positive, and extra-pulmonary tuberculosis cases. Incidence includes patients with HIV.","World Health Organization, Global Tuberculosis Report.",Health: Risk factors,Annual,,Weighted average,"The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.

Uncertainty bounds for the iincidence are available at http://data.worldbank.","Estimates are presented with uncertainty intervals (see footnote). When ranges are presented, the lower and higher numbers correspond to the 2.5th and 97.5th centiles of the outcome distributions (generally produced by simulations). For more detailed information, see the original source.",
SH.VAC.TTNS.ZS,,,Newborns protected against tetanus (%),,Newborns protected against tetanus are the percentage of births by women of child-bearing age who are immunized against tetanus.,"UNICEF, State of the World's Children, Childinfo.",Health: Reproductive health,Annual,,Weighted average,,,
SH.XPD.EXTR.ZS,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.","Health expenditure data are broken down into public and private expenditures. In general, low-income economies have a higher share of private health expenditure than do middle- and high-income countries, and out-of-pocket expenditure (direct payments by households to providers) makes up the largest proportion of private expenditures. High out-of-pocket expenditures may discourage people from accessing preventive or curative care and can impoverish households that cannot afford needed care. Health financing data are collected through national health accounts, which systematically, comprehensively, and consistently monitoring health system resource flows. To establish a national health account, countries must define the boundaries of the health system and classify health expenditure information along several dimensions, including sources of financing, providers of health services, functional use of health expenditures, and beneficiaries of expenditures. The accounting system can then provide an accurate picture of resource envelopes and financial flows and allow analysis of the equity and efficiency of financing to inform policy.",External resources for health (% of total expenditure on health),,"External resources for health are funds or services in kind that are provided by entities not part of the country in question. The resources may come from international organizations, other countries through bilateral arrangements, or foreign nongovernmental organizations. These resources are part of total health expenditure.",World Health Organization National Health Account database (see http://apps.who.int/nha/database/DataExplorerRegime.aspx for the most recent updates).,Health: Health services,Annual,,Weighted average,"Country data may differ in terms of definitions, data collection methods population coverage and estimation methods used.

In countries where the fiscal year spans two calendar years, expenditure data have been allocated to the later year (for example, 2009 data cover fiscal year 2008/09). Many low-income countries use Demographic and Health Surveys or Multiple Indicator Cluster Surveys funded by donors to obtain health system data.

External resources for health are disbursements to recipient countries as reported by donors, lagged one year to account for the delay between disbursement and expenditure. Except where a reliable full national health account study has been done, most data are from the Organisation for Economic Co-operation and Development Development Assistance Committee's Creditor Reporting System database, which compiles data from government expenditure accounts, government records on external assistance, routine surveys of external financing assistance, and special services. Because of the variety of sources, caution should be used in interpreting the data.","In some cases, the sum of public and private expenditures on health may not add up to 100% because of rounding. All the indicators refer to expenditures by financing agent except external resources which is a financing source. When the number is smaller than 0.05%, the percentage may appear as zero. In countries where the fiscal year begins in July, expenditure data have been allocated to the later calendar year (for example, 2008 data will cover the fiscal year 2007–08), unless otherwise stated for the country. For 2008, the use of yearly average exchange rates (compared to year-end exchange rates) may not fully represent the impact of the global financial crisis.",
SH.XPD.OOPC.TO.ZS,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.","Health expenditure data are broken down into public and private expenditures. In general, low-income economies have a higher share of private health expenditure than do middle- and high-income countries, and out-of-pocket expenditure (direct payments by households to providers) makes up the largest proportion of private expenditures. High out-of-pocket expenditures may discourage people from accessing preventive or curative care and can impoverish households that cannot afford needed care. Health financing data are collected through national health accounts, which systematically, comprehensively, and consistently monitoring health system resource flows. To establish a national health account, countries must define the boundaries of the health system and classify health expenditure information along several dimensions, including sources of financing, providers of health services, functional use of health expenditures, and beneficiaries of expenditures. The accounting system can then provide an accurate picture of resource envelopes and financial flows and allow analysis of the equity and efficiency of financing to inform policy.",Out-of-pocket health expenditure (% of total expenditure on health),,"Out of pocket expenditure is any direct outlay by households, including gratuities and in-kind payments, to health practitioners and suppliers of pharmaceuticals, therapeutic appliances, and other goods and services whose primary intent is to contribute to the restoration or enhancement of the health status of individuals or population groups. It is a part of private health expenditure.",World Health Organization National Health Account database (see http://apps.who.int/nha/database/DataExplorerRegime.aspx for the most recent updates).,Health: Health services,Annual,,Weighted average,"Country data may differ in terms of definitions, data collection methods population coverage and estimation methods used.

In countries where the fiscal year spans two calendar years, expenditure data have been allocated to the later year (for example, 2009 data cover fiscal year 2008/09). Many low-income countries use Demographic and Health Surveys or Multiple Indicator Cluster Surveys funded by donors to obtain health system data.","All the indicators refer to expenditures by financing agent except external resources which is a financing source. When the number is smaller than 0.05%, the percentage may appear as zero. In countries where the fiscal year begins in July, expenditure data have been allocated to the later calendar year (for example, 2008 data will cover the fiscal year 2007–08), unless otherwise stated for the country. For 2008, the use of yearly average exchange rates (compared to year-end exchange rates) may not fully represent the impact of the global financial crisis.",
SH.XPD.OOPC.ZS,,,Out-of-pocket health expenditure (% of private expenditure on health),,"Out of pocket expenditure is any direct outlay by households, including gratuities and in-kind payments, to health practitioners and suppliers of pharmaceuticals, therapeutic appliances, and other goods and services whose primary intent is to contribute to the restoration or enhancement of the health status of individuals or population groups. It is a part of private health expenditure.",World Health Organization National Health Account database (see http://apps.who.int/nha/database/DataExplorerRegime.aspx for the most recent updates).,Health: Health services,Annual,,Weighted average,,"All the indicators refer to expenditures by financing agent except external resources which is a financing source. When the number is smaller than 0.05%, the percentage may appear as zero. In countries where the fiscal year begins in July, expenditure data have been allocated to the later calendar year (for example, 2008 data will cover the fiscal year 2007–08), unless otherwise stated for the country. For 2008, the use of yearly average exchange rates (compared to year-end exchange rates) may not fully represent the impact of the global financial crisis.",
SH.XPD.PCAP,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.","Health expenditure data are broken down into public and private expenditures. In general, low-income economies have a higher share of private health expenditure than do middle- and high-income countries, and out-of-pocket expenditure (direct payments by households to providers) makes up the largest proportion of private expenditures. High out-of-pocket expenditures may discourage people from accessing preventive or curative care and can impoverish households that cannot afford needed care. Health financing data are collected through national health accounts, which systematically, comprehensively, and consistently monitoring health system resource flows. To establish a national health account, countries must define the boundaries of the health system and classify health expenditure information along several dimensions, including sources of financing, providers of health services, functional use of health expenditures, and beneficiaries of expenditures. The accounting system can then provide an accurate picture of resource envelopes and financial flows and allow analysis of the equity and efficiency of financing to inform policy.",Health expenditure per capita (current US$),,"Total health expenditure is the sum of public and private health expenditures as a ratio of total population. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation. Data are in current U.S. dollars.",World Health Organization National Health Account database (see http://apps.who.int/nha/database/DataExplorerRegime.aspx for the most recent updates).,Health: Health services,Annual,,Weighted average,"Country data may differ in terms of definitions, data collection methods population coverage and estimation methods used.

In countries where the fiscal year spans two calendar years, expenditure data have been allocated to the later year (for example, 2009 data cover fiscal year 2008/09). Many low-income countries use Demographic and Health Surveys or Multiple Indicator Cluster Surveys funded by donors to obtain health system data.","All the indicators refer to expenditures by financing agent except external resources which is a financing source. When the number is smaller than 0.05%, the percentage may appear as zero. In countries where the fiscal year begins in July, expenditure data have been allocated to the later calendar year (for example, 2008 data will cover the fiscal year 2007–08), unless otherwise stated for the country. For 2008, the use of yearly average exchange rates (compared to year-end exchange rates) may not fully represent the impact of the global financial crisis.",
